district,taluka,village
,,Maharashtra
,,4473 AKKALKUWA 182133 SINDURI 525004 Chimalkhedi 178 775} 177 774 99.9
,,4473 AKKALKUWA 182133 SINDURI 525005 Sinduri 233 1297] 228 1271) 98.0
,,4473 AKKALKUWA 182133 SINDURI 525006 Bamani 220 1194] 217] 1181) 98.9
,,4473 AKKALKUWA 182104 DENAL 525007 Danel 325 1794] 324) 1790) 99.8
,,"4473 AKKALKUWA 182133 SINDURI 525009 Gaman 518 3097, 516 3090) 99.8"
,,4473 AKKALKUWA 182121 MANIBELI 525010 Jangathi 344) 2165) 342 2156 99.6
,,4473 AKKALKUWA 182118 KUKADIPADAR 525012 Kukadipadar 129 627] 128 625 99.7
,,4473 AKKALKUWA 182118 KUKADIPADAR 525013 Kewadi 199 1124] 198 1121) 99.7
,,4473 AKKALKUWA 182128 PIPALKHUTA 525014 Barisurgas 110 609] 107 594 97.5
,,4473 AKKALKUWA 182128 PIPALKHUTA 525015 Pimpalkhunta 496 2744| 492 2725) 99.3
,,4473 AKKALKUWA 182128 PIPALKHUTA 525016 Surgas 149 1253} 148 1250} 99.8
,,4473 AKKALKUWA 182128 PIPALKHUTA 525018 Jugalkhet 146 887] 145 885 99.8
,,4473 AKKALKUWA 182101 BHIUJARIGAVAN 525019 Balaghat 260 1224] 260 1224] 100.0
,,4473 AKKALKUWA 182128 PIPALKHUTA 525020 Bardi 366 2412) 364) 2404) 99.7
,,4473 AKKALKUWA 182142 WADVFALI 525021 Mokas 409 2326) 406 2309) 99.3
,,4473 AKKALKUWA 182142 WADVFALI 525022 Pandhramati 274| 1533} 273 1530} 99.8
,,4473 AKKALKUWA 182118 KUKADIPADAR 525023 Chapadi 116 719 116 719 100.0
,,4473 AKKALKUWA 182142 WADVFALI 525024 Wadfali 257] 1764] 254) 1750) 99.2
,,4473 AKKALKUWA 182142 WADVFALI 525025 Movan 148 792 145 777 98.1
,,4473 AKKALKUWA 182142 WADVFALI 525026 Bagda 317] 1715) 315 1705 99.4
,,4473 AKKALKUWA 182128 PIPALKHUTA 525028 Vehgi 237] 1286 235 1277] 99.3
,,4473 AKKALKUWA 182105 DEBRAMAL 525029 Debramal 104 620 104 620 100.0
,,4473 AKKALKUWA 182104 DENAL 525032 Mandawa 142 1212) 141 1209} 99.8
,,4473 AKKALKUWA 182105 DEBRAMAL 525033 Kanjala 98 535} 96) 525 98.1
,,4473 AKKALKUWA 182100 BHAGARPANI 525035 Veri 344) 1795) 252 1320) 73.5
,,4473 AKKALKUWA 182100 BHAGARPANI 525036 Chanwai 231 1145) 230 1144] 99.9
,,4473 AKKALKUWA 182120 MAHALPADA 525037 Mahalpada 239 1224] 237] 1216} 99.3
,,"4473 AKKALKUWA 182099 BHAGDARI 525038 Bhagdari 1259) 7087, 1253) 7058 99.6"
,,4473 AKKALKUWA 182099 BHAGDARI 525039 Olpada 111 678| 109 671 99.0
,,4473 AKKALKUWA 182101 BHIUJARIGAVAN 525040 Bijaligavhan 257] 1417] 257] 1417] 100.0
,,4473 AKKALKUWA 182101 BHUJARIGAVAN 525041 Kanjani 121 748} 120 746 99.7
,,4473 AKKALKUWA 182123 MOLGI 525042 Bijaripati 200 1103} 200 1103} 100.0
,,4473 AKKALKUWA 182123 MOLGI 525043 Molgi 762 4393} 544) 3138 71.4
,,4473 AKKALKUWA 182123 MOLGI 525044 Ukhalipada 161 763} 161 763 100.0
